detailed_description,brief_summary
"Attention-Deficit/Hyperactivity Disorder (ADHD) is a psychiatric disorder characterized by 3 main symptoms: inattention, hyperactivity and impulsivity. This study will evaluate the long-term safety of SPD485 in the symptomatic treatment of children aged 6-12 diagnosed with ADHD",This study will evaluate the long-term safety of MTS in the symptomatic treatment of children aged 6-12 diagnosed with ADHD
"Attention-Deficit/Hyperactivity Disorder (ADHD) is a psychiatric disorder characterized by 3 main symptoms: inattention, hyperactivity and impulsivity. This study will assess the efficacy, duration of effect, tolerability and safety of 4- and 6- hour wear times of SPD485 in 6-12 year old subjects diagnosed with ADHD.","This study will assess the efficacy, duration of effect, tolerability and safety of 4- and 6- hour wear times of SPD485 in 6-12 year old subjects diagnosed with ADHD."
"Attention-Deficit/Hyperactivity Disorder (ADHD) is a psychiatric disorder characterized by 3 main symptoms: inattention, hyperactivity and impulsivity. This study will assess the safety and tolerability of SPD485 while attempting to establish the appropriate starting dose for subjects previously on an existing long-acting methylphenidate product.",This study will assess the safety and tolerability of MTS while attempting to establish the appropriate starting dose for subjects previously on an existing long-acting methylphenidate product.
"The objective of this study is to determine the safety and effectiveness of asoprisnil 5, 10, and 25 mg, compared to placebo, when administered to postmenopausal women, with Premarin(R) 0.625 mg, for 12 weeks. Pharmacodynamic effects to be assessed include bleeding pattern, endometrial biopsy results, and endometrial thickness. Safety assessments will include clinical laboratory results, physical examination with vital signs, pelvic and breast examinations, ultrasound results, and adverse events",The objective of this study is to determine the safety and effectiveness of 3 asoprisnil doses when administered to postmenopausal women with Premarin(R) 0.625 mg.
"This study is a randomized, double-blind, placebo-controlled, crossover study where patients will be supplemented for 16 weeks with either chromium nicotinate 400 ug/day or placebo and then crossover to the opposite treatment for another 16 weeks. Each soft gel capsule of chromium contains 200ug of chromium and patients will take 1 capsule twice a day or its placebo. Placebo contains di-calcium phosphate in a soft gel capsule and its appearance is similar to the chromium capsules.","In HIV patients, fasting insulin levels decrease with chromium supplementation. This study is to determine if chromium nicotinate supplementation at 400ug/day for 16 weeks will improve insulin resistance in HIV patients with metabolic abnormalities."
"The field of child abuse prevention faces not only the challenge of developing and disseminating effective treatments, but the problem of high attrition rates and treatment noncompliance. This study will compare the effects of a motivational intervention with a ""services as usual"" orientation group on program retention, treatment compliance, and long-term outcomes in families with histories of child maltreatment.","The study will examine the extent to which a group motivational intervention (ME) impacts retention, treatment compliance, and long-term outcomes in families with a history of, or high risk for, child maltreatment."
"Topiramate is approved for the treatment of epilepsy and prophylaxis of migraine attacks. There were case reports of acute angle closure glaucoma (AACG) associated with its use. AACG is particularly common in Asians because of a higher prevalence of narrow angle., we test the hypothesis whether topiramate narrows the angles which may render them more likely to suffer from AACG.",We test the hypothesis whether topiramate narrows the angles which may render Asians more likely to suffer from acute angle closure glaucoma.
"Participants will be randomized to either a control or treatment group taking the dietary supplement containing a soy lecithin-derived N-oleoyl-phosphatidyl-ethanolamine (NOPE) and caffeine free Green Tea-derived epigallocathchin gallate (EGCG) whose trade name is PhosphoLean. The outcome is to determine the effects on indices of weight loss and appetite suppression. Participants will return at 6, 12, and 16 weeks for clinical measures.",The primary aim is to examine whether the intake of PhosphoLEAN is effective in aiding a cohort of women in losing weight. Participants taking the supplement will have significantly greater improvement in study outcomes than those taking the placebo.
"The aim of the study is to investigate the effect of oral rosiglitazone therapy on the vascular responsiveness of different vasoactive compounds (angiotensin II, insulin, histamine and glyceroltrinitrate) in healthy subjects. Rosiglitazone will be given orally (4 weeks 4mg/d, titrated to 8 mg/d for another 4 weeks) as treatment. Every subject will receive intravenous stimulation with angiotensin II, histamine, insulin and glyceroltrinitrate before and after an 8 weeks treatment interval with rosiglitazone.",The study is designed to test the hypothesis in healthy subjects that the oral antidiabetic drug rosiglitazone provides additional vascular relaxing or modulating effects in addition to its blood glucose level reducing ability.
"Patients are randomly assigned to treatment with either candesartan 32 mg/d or Quinapril 20 mg/d before the angioplasty. Walking distance, intima media thickness and crurobrachial pressure ratios are compared after 6 weeks, 3 months and 6 months. After 6 months an angiographic control is performed.",The study is designed to test the hypothesis that high dose candesartan treatment compared to quinapril is able to reduce intima hyperproliferation and the restenosis rate after stent angioplasty in peripheral occlusive artery disease.
"This was an open-label, pilot Phase I/II dose evaluation and pharmacokinetic evaluation study to compare the safety and efficacy of terameprocol (45mg or 90mg/application)administered once per week for 3 weeks to the cervix uteri in patients with biopsy-proven CIN. Patients who met eligibility criteria visited the clinic weekly for terameprocol application. Patients kept a daily diary card record of genitourinary symptoms.","The primary objective of this study is to determine pilot safety and efficacy data for a topical formulation of EM-1421 applied to the cervix of patients with CIN 1, 2, or 3."
200 patients are prospectively randomized in a double blind study investigating the efficacy of levosimendan in heart failure after cardiac surgery. Levosimendan/placebo is administered as 24 hour continuous infusion beginning after anesthesia induction. Primary endpoint being adrenergic inotrope need after cardiopulmonary bypass and secondary endpoints hospital and 6-month mortality and major organ failure.,"Prospective, randomized, double blind study investigating the efficacy of levosimendan in heart failure after cardiac surgery. Study hypothesis: Levosimendan diminishes the need for adrenergic inotropic drugs and morbidity and may improve survival after heart valve surgery."
"The primary objective of this study is to find out the response rate of twice weekly paclitaxel and cisplatin and weekly HDFL in recurrent or metastatic esophageal carcinoma patients who need palliative Chemotherapy. The secondary objectives include overall survival, progression-free survival, and toxicity.",The primary objective of this study is to find out the response rate of twice weekly paclitaxel and cisplatin and weekly HDFL in recurrent or metastatic esophageal carcinoma patients who need palliative Chemotherapy.
1. Nalbuphine is opioid mu receptor antagonist and kappa receptor agonist 2. This study was designed to investigate the interaction between nalbuphine and morphine 3. The analgesic effect and opioid-related side effects will be investigated,1. Nalbuphine is opioid mu receptor antagonist and kappa receptor agonist 2. This study was designed to investigate the interaction between nalbuphine and morphine
"The aim of the study is to investigate the effect of extracorporeal shock wave therapy (ESWT) on the thickness of plantar fascia measured by ultrasonographic examination among patients with chronic plantar fascitis. Two different dosage of ESWT will be applied, and the outcome will be followed 3 and 6 months after the treatment. The change of plantar fascia thickness will be correlated with clinical improvement, including the pain improvement, foot function, and quality of life at follow up.",The aim of the study is to investigate the effect of extracorporeal shock wave therapy (ESWT) on the thickness of plantar fascia measured by ultrasonographic examination among patients with chronic plantar fascitis. The change of plantar fascia thickness will be correlated with clinical improvement.
Patients with primary and secondary pulmonary hypertension will be recruited and admitted to the ICUs of the National Taiwan University Hospital. Each patient will undergo Swan-Ganz catheterization and hemodynamic monitoring during administration of sildenafil. Efficacy of inhaled NO and Iloprost will also be compared.,The aim of this trial is to evaluate the efficacy of type-5 phosphodiesterase inhibitors (sildenafil) in primary and secondary pulmonary hypertension
"In women who present with biopsy-proven CIN 1, to compare the management approach of regular colposcopic follow-up and only treating progressive disease using the LEEP, with an approach of immediate treatment using LEEP. The primary outcome is progression to more advanced disease (i.e., CIN 2, CIN 3 or cancer).",This study looks at immediate treatment of a cervix with CIN 1 versus regular six-month follow-up with colposcopy and treatment if CIN 1 progresses.
"No medical therapy is currently available for the long-term treatment of uterine fibroids. The objective of this study is to determine the long-term safety of asoprisnil 10 mg daily for 6 months, after an initial 12 weeks in study M99-144, in women with one or more uterine fibroids, confirmed by ultrasound in study M99-144. The safety endpoints for this study will be based on ultrasound and endometrial biopsy results, adverse events, and any changes from baseline laboratory values and vital signs.",This study was designed to determine the long-term safety of asoprisnil 10 mg in women with one or more uterine fibroids after an initial 12 weeks in study M99-144.
"Purpose: The RIO trial is designed to test the efficacy of GP IIb/IIIa blockade on subacute reocclusions in patients with interventional recanalization of chronic occlusions in the superficial femoral and popliteal artery. Methods: A total of 420 patients will be randomly assigned to ReoPro or placebo. Patients will be eligible for randomisation with occlusions longer than 5 cm. Doppler ultrasound follow-up will be at 30 days, and after 6, and 12 months.","The Rio Study is a randomized, double blinded German- Swiss- Austria multi-centre trial on the efficacy and safety of ReoPro together with interventional recanalization of TASC D lesions in the SFA and popliteal artery."
"In ongoing clinical trials, AI-700 is currently being evaluated for its value to provide enhanced echocardiography to detect CAD. The patient population is comprised of those patients who have chest pain and are being evaluated for inducible ischemia. This population may include patients with compromised pulmonary function due to COPD or CHF. This study was to evaluate the safety of AI-700 in these patients.","This study was conducted to evaluate the safety and pharmacokinetics of an echocardiographic contrast agent, AI-700, in patients with moderate to severe chronic obstructive pulmonary disease (COPD) and/or congestive heart failure (CHF)."
"Randomized, double blind, placebo controlled, prospective trial in patients, receiving a kidney transplantation. Patients will be randomized to receive either Epoetin Beta (Neorecormon; Roche) or placebo. The primary endpoint will be delayed graft function. The anticipated duration of this trial is 2 year and the target sample size is 60 patients per arm.","Randomized, double blind, placebo controlled, prospective trial investigating the effect of erythropoietin in renal transplantation. The investigators postulate that erythropoietin reduces the risk of delayed graft function."
"Patients with end-stage renal disease receiving or about to initiate hemodialysis are randomized to receive either adjusted dose warfarin to achieve an INR of 1.5-1.9 or adjusted dose placebo within 72 hours of hemodialysis catheter placement. The primary outcome is mechanical failure of the catheter, as outlined below.","This study examines whether low intensity, dose adjusted warfarin prolongs the time to mechanical failure of hemodialysis catheters without resulting in an unacceptable rate of bleeding."
The objective of this study is to provide adefovir dipivoxil 10 mg once daily to patients with chronic hepatitis B virus(HBV) infection who have completed a Gilead-sponsored study of adefovir dipivoxil and require continued access to adefovir dipivoxil. The secondary objective of this study is to evaluate the safety of chronic therapy with adefovir dipivoxil 10 mg.,Provide adefovir dipivoxil (Hepsera) 10 mg once daily to patients with chronic hepatitis B virus (HBV) infection who have completed a Gilead-sponsored study of adefovir dipivoxil and require continued access to adefovir dipivoxil.
"All subjects were previously primed with one of the two formulations of the combined DTPw-HBV/Hib vaccine. At the age of 10 months, 50% of each group received a plain PRP challenge to assess the immune memory to PRP. In this booster study in the second year of life, all subjects who received DTPw-HBV/Hib and plain PRP will receive DTPw-HBV as a booster vaccination. All other subjects will receive as booster the same vaccine they received in the primary vaccination study.",To assess the anti-PRP antibody response one month after vaccination in the groups receiving a fourth consecutive dose of two formulations of DTPw-HBV/Hib vaccine
"To compare the two treatment groups with the goal of achieving HIV-1 RNA levels less than 50 copies/mL at week 48. To compare the safety, efficacy and tolerability of the two treatment regimens through 144 weeks of drug exposure. To evaluate the long-term efficacy, safety and tolerability of tenofovir DF in combination with lamivudine and efavirenz through approximately 336 weeks of drug exposure.",To compare tenofovir DF plus lamivudine plus efavirenz vs. stavudine plus lamivudine plus efavirenz in the treatment of HIV-1-infected patients who have never taken antiretroviral drugs and have a viral load of less than 400 copies/mL at week 48.
"This clinical study was a prospective, multi-center, clinical evaluation to document safety and effectiveness of the EASYTRAK 3 lead in humans. Patients implanted with the EASYTRAK 3 lead were followed through pre-discharge, 1-month, 3-month and 6-month follow-ups",The purpose of this clinical investigation was to assess the safety and effectiveness of the EASYTRAK 3 lead
The objective of this multi-center study is to optimize the long-term treatment of patients with first episode schizophrenia. This investigation should contribute to the issue of effective relapse prevention in first-episode patients. 1-year maintenance neuroleptic treatment is done with low dose haloperidol or risperidone (target dose 2-4 mg/die).,"Prospective, randomized, double-blind, multi-center study on 1 year course and treatment outcome under low-dose typical (haloperidol) vs. atypical neuroleptics (risperidone) in first-episode schizophrenia."
"The objective of this multi-center study is to optimize the long-term treatment of patients with alcohol dependence. This investigation should contribute to the issue of effective relapse prevention. Each treatment condition is lasting 6 months: a) Behavior Group Therapy + Acamprosate, b) Behavior Group Therapy + Placebo and c) support and counseling + Acamprosate. Follow-up examinations carried out 3 and 6 months after the end of treatment.","The main aim of this project consists in the investigation of the interaction of behavior therapy and Acamprosate in the outpatient treatment of alcoholic patients in a randomized, prospective and (regarding study medication Acamprosate vs. Placebo) double blind design. A total of 371 patients has been randomly assigned immediately after detoxification to one of three different outpatient treat-ment conditions."
Antidepressant therapy has a delayed onset of action of 4-6 weeks. Pindolol has in some studies shown an accelerating effect. In this study we investigate the effect of 20 mg of pindolol retarded formulation in combination with Venlafaxine compared to placebo Pindolol and Venlafaxine for a duration of 19 days. Effect is measured by the Hamilton Depression rating Scale and the Preskorn Scale (self-rating).,This study investigates the hypothesis that pindolol can accelerate the response to antidepressants in patients with major depression treated with venlafaxine.
"The main aim of the study is to compare the effects of psycho-education in groups with short individual psycho-education. It is a randomized controlled trial including Bipolar 1 and 2 patients in a stable euthymic phase. 42 or 43 patients will receive group education in 10 weekly sessions and then a session every third month for two years. 42 or 43 patients will receive three individual sessions of education. Symptoms, admittances to hospital and function will be followed for two years.",The purpose for this study is to determine whether psycho-education in groups is more effective than individual psycho-education for patients with bipolar disorder.
"No medical therapy is currently available for the long-term treatment of uterine fibroids. The objective of this study is to determine the safety and efficacy of asoprisnil 5 mg, 10 mg and 25 mg, compared to placebo, taken daily for 12 weeks by women with one or more uterine fibroids, confirmed by ultrasound. Upon completion, subjects at participating sites will be allowed to enter an open-label extension study","This study was designed to determine the safety and effectiveness of 3 asoprisnil doses compared to placebo, taken for 12 weeks by women with uterine fibroids."
The purpose of this clinical research study is to determine how well CARDIOLITE(R) rest and stress myocardial (heart) imaging can define the pediatric Kawasaki disease (KD) population into high and low risk categories of developing cardiac (heart) events (complications) from 1 year through 3 years after image completion. The safety of CARDIOLITE(R) rest and stress heart imaging will also be studied.,Determine the predictive value of CARDIOLITE(R) rest and stress myocardial perfusion imaging (MPI) to define a pediatric population with Kawasaki Disease (KD) at high and low risk of developing cardiac events.
Hip fracture patients have severe pain in the acute phase. Traditional analgesic treatment have consisted of intramuscular morphine with its associated side effects. The trial evaluates the Fascia iliaca compartment compared to regular opioid pain therapy in hip fracture patinets immediately after arrival at the emergency department.,To evaluate the analgesic potential of an neural blockade (Fascia iliaca compartment) with local anaesthetics in patients with hip fracture immediately after arrival in the emergency department.
"The study shall be conducted according to a three-way, double-blind, placebo and active controlled crossover design. Treatment groups are identified as follows. - Rupatadine - Hydroxyzine - Placebo","The primary objective of this study is to measure and compare the acute effects of rupatadine 10 mg, relative to placebo and hydroxyzine 50 mg as an active control on healthy volunteers' performance on a standard over-the-road driving test and a car-following test."
All eligible ER patients will be screened during study times for IPV victimization and perpetration. All victims will be followed at 1 week and 3 months to determine any adverse outcomes. Perpetrators will only be followed in the ED for adverse outcomes after screening. All patients who disclose IPV victimization or perpetration will get a list of community resources. Victims will be asked at follow up what resources they used.,The purpose of this study is to see if using a computer kiosk to screen men and women for intimate partner violence victimization and perpetration is safe and effective. We hypothesize that screening will not result in any adverse events.
"Using a touch screen computer, the researchers are screening emergency department patients for intimate partner violence and mental health issues. The researchers are looking to see if those who participate in a computer screen and are given referral lists as well as having the computer printout placed on the physician clipboard, will increase physician awareness and recognition as well as patient use of resources compared to usual care.","Using a touch screen computer, the researchers are screening emergency department patients for intimate partner violence and mental health issues."
"Patients with vertebral compression fracture will be diagnosed and treated with balloon kyphoplasty. Pain and functional status will be assessed at baseline, 1-, 12-, and 24-months post-operatively using VAS pain scale, Oswestry Disability Index, and SF-36.",Patients with vertebral compression fracture will be treated cement injection into the spine and monitored using standard evaluations.
"The controlled clinical trial held in NTUH in 2001 revealed that the bioavailability of tacrolimus when combined with sirolimus is lower than that reported in the literature where tacrolimus was not combined with sirolimus. To determine if the difference was due to the drug interaction between sirolimus and tacrolimus, a controlled clinical trial was proposed. The purpose of this study is to understand whether the pharmacokinetics of tacrolimus is influenced by the concurrent use of sirolimus.",The purpose of this study is to understand whether the pharmacokinetics of tacrolimus is influenced by the concurrent use of sirolimus.
The skin phototype will be obtained from a structuralized questionaire. The constitutive skin color and facultative skin color will be obtained by chromameter. The minimal erythema dose will be obtained by physician's assessment.,"There is no previous study on the minimal erythema dose of UVB irradiation in Chinese people. We will investigate the correlation of skin phototype, constitutive skin color, facultative skin color and minimal erythema dose in Taiwanese."
"The ability to quickly respond to external perturbations is an important capacity of stroke patients to maintain dynamic balance in activities of daily living. The purpose of this study was to compare the balance strategy, as well as center of pressure (COP) trajectory and parameters between healthy adults and patients with hemiplegia in response to slow- and fast-speed waist- pulling perturbations in forward, left, right, and backward directions.","The purpose of this study was to compare the balance strategy, as well as center of pressure (COP) trajectory and parameters between healthy adults and patients with hemiplegia in response to slow- and fast-speed waist- pulling perturbations in forward, left, right, and backward directions."
"Volunteers with normal and subnormal semen parameters receive a hormonal male contraceptive in order to investigate whether there are differences between normal and subnormal men in terms of suppressibility, rate of azoospermia and reversibility of suppression of spermatogenesis. Twenty-five men will be recruited for each group. They will be exposed to hormonal male contraception for six months.","Volunteers with normal and subnormal semen parameters receive a hormonal male contraceptive in order to investigate whether there are differences between normal and subnormal men in terms of suppressibility, rate of azoospermia and reversibility of suppression of spermatogenesis."
"All subjects will be given the same treatment regimen of total body irradiation (TBI), Fludarabine, Cyclophosphamide, and anti-thymocyte globulin (ATG), followed by an alternate donor stem cell transplant. Since this treatment regimen has been given before, without thymic shielding, we will compare the outcomes of these patients with the historical data from subjects who did not receive thymic shielding.",The purpose of this study is to determine whether thymic shielding during total body irradiation can be given and whether it will reduce the risk of infections in Fanconi Anemia patients undergoing alternate donor (not a matched sibling) stem cell transplants.
"Myotonic dystrophy is an inherited disorder that affects 1 per 8000 adults. The disease is characterize by muscular dystrophy, myotonia, cardiac disorders, cognitive function impairment, hypersomnia, hair loss, endocrine disorders. Recent small studies suggested that DHEA treatment may improve muscle strength in adults with myotonic dystrophy. Thus, the current study aims at investigating the safety and efficacy of a prolonged treatment with DHEA in adults with myotonic dystrophy.",To test the efficacy and safety of two doses of dehydroepiandrosterone (DHEA) in adults with myotonic dystrophy
"Male and female subjects at least 18 years of age with moderate to severe plaque psoriasis treated with 12 weeks of alefacept 15 mg IM and who have not achieved the desired response. Dosing Groups: Subjects will receive either 4, 8, or 12 doses of alefacept 15 mg IM weekly immediately (within 14 days) following a standard 12-dose course of AMEVIVE(R) 15 mg IM. Determination of number of doses will be based on physician qualitative assessment at weeks 4 and 8.",To evaluate the safety of treating subjects with up to 12 additional doses of alefacept.
This is a longitudinal double-blind 12-week study of the clinical and biochemical response to clozapine or chlorpromazine in a group of treatment-refractory schizophrenic patients. The study has 4 phases: (1) A recruitment period; (2) a period of discontinuation of psychotropic medication; (3) a drug-washout period; and (4) a 12-week double-blind trial of clozapine or chlorpromazine.,This study will examine the physical response to clozapine or chlorpromazine in people with schizophrenia that has not improved with treatment.
"This is a two-year open-label, randomized trial of the comparative effectiveness of clozapine versus olanzapine in patients with treatment refractory schizophrenia. The objective is to determine whether in a naturalistic setting olanzapine is a logical treatment choice (before using the more toxic clozapine) for some treatment refractory patients.",This study will determine the effectiveness of clozapine versus olanzapine in treating people with schizophrenia that has not improved with treatment.
"Stable renal transplant patients on maintenance immunosuppressive therapy with steroids, a calcineurin inhibitor (CNI) and mycophenolate mofetil (MMF) will be randomized for AUC-monitored withdrawal of either CNI or MMF. The progression of cardiovascular markers will be assessed by yearly measurements of Intima Media Thickness, Pulse Wave Velocity and Left Ventricular Hypertrophy in both groups. The duration of the study will be 3 years and the target sample size is 100 patients per arm","This is a prospective randomized study to compare the influence of area under the curve (AUC)-monitored dual treatment with steroids in combination with either a calcineurin inhibitor (CNI) or mycophenolate mofetil (MMF) on the progression of subclinical cardiovascular disease in renal transplant recipients. Since CNI have a detrimental effect on cardiovascular risk factors, it is the researchers' hypothesis that renal recipients after CNI withdrawal will have more reduction of markers of cardiovascular disease."
This study will investigate the clinical and laboratory variables that may be used to predict who among the solid organ transplant recipients will develop CMV disease after completing antiviral prophylaxis. This is a retrospective study of patients seen at the Mayo Clinic during the past five years.,This study will investigate the clinical variables that may be used to predict who among the solid organ transplant recipients will develop cytomegalovirus (CMV) disease after completing antiviral prophylaxis.
Venous thromboembolic (VTE) prophylaxis in trauma patients is a critical clinical problem. Patients with traumatic brain injury usually have effective VTE prophylaxis withheld secondary to concerns of exacerbating intracranial hemorrhage. This study examines the safety and efficacy of early administration (within 24 hrs of admission) of low molecular weight heparin to this patient population with very high VTE risk.,To study the safety and efficacy of early administration of Low Molecular Weight Heparin to patients with traumatic brain injury.
"This is a multi-center, randomized, partially blinded trial to compare the safety and immunogenicity of intramuscularly versus intradermally administered influenza vaccine in healthy 18-64 year old adults. Subjects will have blood drawn immediately prior to and approximately three to four weeks after vaccination. After the completion of the trial, all subjects will be offered influenza vaccine of the 2005-2006 formulation.",This protocol is to compare the immune response of different influenza vaccines given by two different routes of administration in healthy adults ages 18 to 64 years.
This study is to investigate the effect of the cyclic mechanical strain on the osteogenic differentiation of mesenchymal stem cells. Mesenchymal stem cells will be cultured from the periodontal ligament tissue of the premolars extracted due to orthodontic reason.,The purpose of this study is to observe cyclic tensional force on the osteogenic differentiation of human periodontal ligament stem cells.
"According to Morgan et. al. (J Neurosurg 101:1026-1029, 2004): bilirubin as a cerebrospinal fluid marker of sentinel subarachnoid hemorrhage: a preliminary report in pigs, we're going to test the hypothesis in the cerebrospinal fluid of spontaneous subarachnoid hemorrhage patients. We'll collect the serial cerebrospinal fluid in 15-20 spontaneous subarachnoid hemorrhage patients to see the time sequence of changes in bilirubin levels.","According to Morgan et. al. (J Neurosurg 101:1026-1029, 2004): bilirubin as a cerebrospinal fluid marker of sentinel subarachnoid hemorrhage: a preliminary report in pigs, we're going to test the hypothesis in the cerebrospinal fluid of spontaneous subarachnoid hemorrhage patients."
The endoscopic sphincterotomy with needle knife papillotome is a well-established advanced endoscopic technique in difficult cannulation cases. Choledocholithiasis impacted at the ampulla of Vater is occasionally seen. Inflammed surrounding mucosa frequently accompanies. Whether sphincterotomy with a needle knife increases the bleeding complications is to be elucidated in this study.,"Using a needle knife papillotome by an experienced endoscopist, endoscopic sphincterotomies were performed in difficult cannulation cases. In a prospectively collected database, we investigate the complications of those with ampullary impacted stone."
"The allergens involved in atopic patients are widely existed in our environment. Traditionally, we use serum specific IgE, skin prick test or intradermal test to verify the possible causative allergens in patients with atopic dermatitis. This study will evaluate the correlation between serum specific IgE, skin prick test, intradermal test, and patch test for common allergens in adult patients with atopic dermatitis.",To analyze the common allergens revealed by skin tests in adult atopic dermatitis patients.
Ceftazidime is a third generation cephalosporins that should be reserved for severe bacterial infections. Substitution of the brand ceftazidime with a generic ceftazidime raised some concerns. The purpose of this study is to understand whether generic ceftazidime causes different adverse drug reaction incidence from the brand drug.,The purpose of this study is to understand whether generic ceftazidime causes different adverse drug reaction incidence from the brand drug.
"Each subject will receive prazosin and placebo trials, the order randomized. Day and nighttime symptoms will be monitored.",Investigating the effect of prazosin for nighttime symptoms of civilian Posttraumatic Stress Disorder.
"Randomized, open-label assignment of type 2 patients who are on a stable antidiabetic regimen to treatment with either insulin glargine or BID NPH human insulin, with baseline diabetic retinopathy of severity 53/<53 on the ETDRS scale, for 5 years of followup. Outcomes measured by seven-field fundus photography at baseline, 1.5, 3,6,and 9 months, and annually.",To compare the progression of diabetic retinopathy in type 2 diabetic patients with mild-to-moderate diabetic retinopathy treated with insulin glargine vs NPH human insulin.
"A Phase 3 Study comparing 80 mg, 120 mg or 240 mg of febuxostat, allopurinol (300 mg for those with normal renal function and 100 mg for those with impaired renal function) and placebo administered once daily in subjects with gout. Subjects will receive treatment for 28 weeks.","The purpose of this study is to compare febuxostat, allopurinol and placebo, once daily (QD), in subjects with gout."
"This is a multi-center, validation study of MRI in the quantitative assessment of gouty tophi. Subjects with palpable gouty tophi (confirmed by aspiration of the tophus) in select anatomical sites (foot, hand or elbow) will undergo pre- and post contrast MRI on two occasions separated by 5 to 10 days. This study will consist of up to 4 study visits.",The purpose of this study is to determine the reproducibility of Magnetic Resonance Imaging (MRI) in the quantitative assessment of tophus volume.
This study will assess the safety and efficacy of imiquimod 5% cream applied to actinic keratoses on the head to reduce the size of lesions. The objective is to analyze the effect of dose cycling with respect to the complete clearance rate when imiquimod 5% cream is applied 3 times per week for 4 weeks in 1 or 2 cycles. The complete clearance rate is defined as the proportion of subjects with no clinically visible AK lesions in the treatment area at the end of cycle 1 or the end of cycle 2.,It is believed that imiquimod 5% cream has the potential to be an effective treatment for actinic keratoses. The purpose of this study is to evaluate the duration of the effect of topical imiquimod 5% topical cream for the treatment of actinic keratoses.
"In a randomised, double-blind, placebo-controlled, cross-over study in healthy men we will assess the effect of oral fluvoxamine (50mg qd on day 1-3; 100mg qd on day 4-10) on sildenafil kinetics (single oral 50mg dose on day 11). Sildenafil plasma concentrations will be determined by LC/MS. We will also assess the effect of sildenafil on venodilation induced by a constant dose-rate of the NO-donor sodium nitroprusside (SNP) during preconstriction with phenylephrine (dorsal hand vein compliance technique).",Aim of the study is to assess the interaction between sildenafil and fluvoxamine and its effect on the venous response to sodium nitroprusside.
"Patients with a high risk of malignant tachyarrhythmia are routinely investigated by programmed electrophysiological study (EPS). To investigate the hemodynamic effects of ventricular arrhythmia to cerebral circulation an EEG and transcranial ultrasound are conducted simultaneously during the EPS. Before and after the EPS a neuropsychological test and an investigation of a specific blood sample (Neuron Specific Enolase, NSE) is done.","In this study, changes in electroencephalogram (EEG) and the hemodynamic state during ventricular fibrillation or induced ventricular tachycardia are investigated."
"This is based on our published data that morphine is a powerful stimulant of angiogenesis and our preclinical study of wounds in rats which demonstrate that topical opioids (morphine, hydromorphone and fentanyl) hasten healing of punch biopsy wounds. This study will focus on hydromorphone which was more powerful than morphine as a wound-healer in the rat study.",The hypothesis is that topical opioids will hasten wound healing in humans.
"The primary objective of this pilot study is to evaluate the safety of venlafaxine extended release formulation (XR) in the treatment of geriatric non-psychotic depression. This pilot study's specific aims are to assess the safety of venlafaxine XR in the geriatric population, to estimate the response rate of older depressed subjects treated under open conditions and to evaluate pharmacokinetic characteristics that may impact on safety and outcome.",This research study is to evaluate the safety and usefulness of venlafaxine-XR in the treatment of major depression in the elderly.
"Patients with follicular lymphoma who require therapy and have been previously untreated are eligible for this non-randomized, phase II study evaluating up front therapy with CHOP-R x 3 cycles followed by zevalin and 4 additional weeks of rituxan.The complete response will be determined by combining IWC criteria and PET scanning.Secondary objectives include PET-CT conversion rate, frequency and severity of adverse events, duration of complete remission and time to next lymphoma therapy.",The purpose of this study is to determine the complete response rate when CHOP-R chemotherapy in followed by Zevalin in previous untreated patients with follicular lymphoma
"The objective of this study is to assess the feasibility of using the World Wide Web (Web) and in-home computers to provide patients suffering from schizophrenia and their families advice from health care professionals, social support, and information. The purposes of this intervention are to improve: 1) the availability, convenience and use of needed mental health services; 2) family support for their ill family members; and 3) patient and family outcomes.","This study will assess the feasibility of using the internet and in-home computers to provide advice from health care professionals, social support, and health information to people with schizophrenia and their families."
"Researchers at the University of Pittsburgh Medical Center Health System are currently recruiting men and women, ages 18 to 60, to examine the effectiveness of the FDA-approved medication sertraline (Zoloft) for major depression. Participants will be randomly assigned to one of two groups. Each group will begin and continue taking Zoloft at different doses. A physician will follow eligible participants weekly for approximately 12 weeks",This research study is being conducted to find out if certain individuals benefit from taking medication for their depression with a low dose of the antidepressant medication Zoloft.
"NABIS:HIIR was a randomized clinical trial conducted in patients with severe brain injury, age 16-45. Patients were randomized to standard treatment at normothermia or to standard treatment with moderate hypothermia (32.5-34C for 48 hours). An intent to treat analysis was used with the primary outcome measure as the Glasgow Outcome Scale at six months after injury. GOS is dichotomized into good outcome (Good Recovery/Moderate Disability) and poor outcome (Severe Disability, Vegetative, Dead).",Induction of hypothermia to C by C by 4 hours after injury and maintained for 48 hours in patients aged 16-45 will result in an increased number of patients with good outcomes at six months after injury compared to patients randomized to normothermia.
"The Squid magnetometer is a non-invasive investigational device that measures the electrical activity in the smooth muscle of the intestines. Volunteers with normal bowel activity, those with gastric problems, and diabetics with gastric problems will be studied under the SQuid to determine normal and abnormal activity. Diabetics with an abnormal gastric emptying study will be asked to participate.",The purpose of this study is to use the Squid magnetometer (Superconducting QUantum Interference Device) to help diagnose electrical and mechanical abnormalities of the stomach and intestines.
